Placa,Fabricação,Combustível,Planta do Veículo,Modelo,Carroceria,Chassi,Nº do Chassi,Ordem,Tipo de Veículo,Data Inclusão
KXN8123,2013,Diesel,2920,MBB OF 1721 EURO V,NEOBUS - SAN MARINO,MERCEDES BENZ,9BM384078DB907603,A63542 ,31 ONBUS BASIC URB C/AR C/ELEV,01/08/13 12:41
KRW2839,2013,Diesel,2920,MBB OF 1721 EURO V,NEOBUS - SAN MARINO,MERCEDES BENZ,9BM384078DB907595,A63543 ,31 ONBUS BASIC URB C/AR C/ELEV,01/08/13 11:56
KZP7058,2011,Diesel,2769,OF-1722,MARCOPOLO,MERCEDES BENZ,9BM384078CB823283,A71501 ,30 ONBUS BASIC URB S/AR C/ELEV,17/02/12 15:12
KVO9955,2011,Diesel,2634,OF-1722,INDUSCAR - CAIO,MERCEDES BENZ,9BM384078CB831207,A71502 ,30 ONBUS BASIC URB S/AR C/ELEV,02/05/12 14:26
KPL4366,2013,Diesel,2923,MBB OF 1721 EURO V,MARCOPOLO,MERCEDES BENZ,9BM384078DB906136,A71503 ,30 ONBUS BASIC URB S/AR C/ELEV,16/08/13 19:09
KVR8096,2012,BIODIESEL                     ,2847,MBB OF 1721 EURO V,INDUSCAR - CAIO,MERCEDES BENZ,9BM384078CB855463,A71504 ,30 ONBUS BASIC URB S/AR C/ELEV,21/08/12 16:40
LQC6570,2011,Diesel,2769,OF-1722,MARCOPOLO,MERCEDES BENZ,9BM384078CB823294,A71505 ,30 ONBUS BASIC URB S/AR C/ELEV,17/02/12 15:13
LSP4179,2011,Diesel,2634,OF-1722,INDUSCAR - CAIO,MERCEDES BENZ,9BM384078CB831812,A71506 ,30 ONBUS BASIC URB S/AR C/ELEV,02/05/12 14:26
LPW3274,2011,Diesel,2769,OF-1722,MARCOPOLO,MERCEDES BENZ,9BM384078BB785242,A71507 ,30 ONBUS BASIC URB S/AR C/ELEV,05/08/11 17:15
KWV5035,2012,Diesel,2847,MBB OF 1721 EURO V,INDUSCAR - CAIO,MERCEDES BENZ,9BM384078CB855465,A71508 ,30 ONBUS BASIC URB S/AR C/ELEV,21/08/12 16:41
KPA8506,2012,Diesel,2883,MBB OF 1721 EURO V,INDUSCAR - CAIO,MERCEDES BENZ,9BM384078CB874387,A71509 ,48 MIDI URB S/AR C/ELEV S/COBR,02/07/13 14:50
LQJ6927,2012,Diesel,2847,MBB OF 1721 EURO V,INDUSCAR - CAIO,MERCEDES BENZ,9BM384078CB855270,A71510 ,30 ONBUS BASIC URB S/AR C/ELEV,11/09/12 12:04
LLK7643,2011,Diesel,2634,OF-1722,INDUSCAR - CAIO,MERCEDES BENZ,9BM384078BB769582,A71511 ,30 ONBUS BASIC URB S/AR C/ELEV,25/05/11 15:25
LRN5852,2014,Diesel,2967,MBB OF 1721 EURO V,MARCOPOLO,MERCEDES BENZ,9BM384078EB947451,A71512 ,31 ONBUS BASIC URB C/AR C/ELEV,04/08/14 10:21
KVT6789,2012,Diesel,2847,MBB OF 1721 EURO V,INDUSCAR - CAIO,MERCEDES BENZ,9BM384078CB868832,A71513 ,30 ONBUS BASIC URB S/AR C/ELEV,11/09/12 12:03
LLP8981,2011,Diesel,2634,OF-1722,INDUSCAR - CAIO,MERCEDES BENZ,9BM384078CB831814,A71514 ,30 ONBUS BASIC URB S/AR C/ELEV,02/05/12 14:27
LRG5005,2014,Diesel,2967,MBB OF 1721 EURO V,MARCOPOLO,MERCEDES BENZ,9BM384078EB947570,A71515 ,31 ONBUS BASIC URB C/AR C/ELEV,04/08/14 10:22
KVO9951,2011,Diesel,2634,OF-1722,INDUSCAR - CAIO,MERCEDES BENZ,9BM384078CB831824,A71516 ,30 ONBUS BASIC URB S/AR C/ELEV,02/05/12 14:27
LQC6568,2011,Diesel,2769,OF-1722,MARCOPOLO,MERCEDES BENZ,9BM384078CB823304,A71517 ,30 ONBUS BASIC URB S/AR C/ELEV,17/02/12 15:13
LRH5507,2014,Diesel,2967,MBB OF 1721 EURO V,MARCOPOLO,MERCEDES BENZ,9BM384078EB947478,A71518 ,31 ONBUS BASIC URB C/AR C/ELEV,04/08/14 10:22
KWZ5085,2012,Diesel,2847,MBB OF 1721 EURO V,INDUSCAR - CAIO,MERCEDES BENZ,9BM384078CB855460,A71519 ,30 ONBUS BASIC URB S/AR C/ELEV,11/09/12 12:04
KXV8425,2012,Diesel,2847,MBB OF 1721 EURO V,INDUSCAR - CAIO,MERCEDES BENZ,9BM384078CB868834,A71520 ,30 ONBUS BASIC URB S/AR C/ELEV,11/09/12 12:06
KYT7119,2011,Diesel,2664,LO-915,NEOBUS - SAN MARINO,MERCEDES BENZ,9BM688277BB784675,A71521 ,27 MINIONBUS URBAN C/AR C/ELEV,07/07/11 14:03
