Placa,Fabricação,Combustível,Planta do Veículo,Modelo,Carroceria,Chassi,Nº do Chassi,Ordem,Tipo de Veículo,Data Inclusão
LRE9773,2014,Diesel,2916,MBB OF 1721 EURO V,MARCOPOLO,MERCEDES BENZ,9BM384078EB950140,B25821 ,5 ONIBUS ROD. C/ AR,08/04/14 11:22
LRE9774,2014,Diesel,2916,MBB OF 1721 EURO V,MARCOPOLO,MERCEDES BENZ,9BM384078EB950142,B25822 ,5 ONIBUS ROD. C/ AR,08/04/14 11:22
LRE9775,2014,Diesel,2916,MBB OF 1721 EURO V,MARCOPOLO,MERCEDES BENZ,9BM384078EB950146,B25823 ,5 ONIBUS ROD. C/ AR,08/04/14 11:23
LRE9776,2014,Diesel,2916,MBB OF 1721 EURO V,MARCOPOLO,MERCEDES BENZ,9BM384078EB950151,B25824 ,5 ONIBUS ROD. C/ AR,08/04/14 11:24
LRE9777,2014,Diesel,2916,MBB OF 1721 EURO V,MARCOPOLO,MERCEDES BENZ,9BM384078EB950153,B25825 ,5 ONIBUS ROD. C/ AR,08/04/14 11:25
KQK9926,2014,Diesel,2916,MBB OF 1721 EURO V,MARCOPOLO,MERCEDES BENZ,9BM384065EB958757,B25826 ,5 ONIBUS ROD. C/ AR,12/08/14 17:04
KQK9925,2014,Diesel,2916,MBB OF 1721 EURO V,MARCOPOLO,MERCEDES BENZ,9BM384065EB958769,B25827 ,5 ONIBUS ROD. C/ AR,12/08/14 17:05
LRX7516,2015,Diesel,3026,MBB OF 1721 EURO V,INDUSCAR - CAIO,MERCEDES BENZ,9BM384078FB005592,B27001 ,31 ONBUS BASIC URB C/AR C/ELEV,07/05/15 14:43
KYP4579,2010,Diesel,2724,OF-1722,INDUSCAR - CAIO,MERCEDES BENZ,9BM384078AB700702,B27002 ,30 ONBUS BASIC URB S/AR C/ELEV,09/11/10 18:06
KQP5107,2013,Diesel,2915,MBB OF 1721 EURO V,NEOBUS - SAN MARINO,MERCEDES BENZ,9BM384078DB900249,B27003 ,30 ONBUS BASIC URB S/AR C/ELEV,29/05/13 10:57
KOZ6613,2012,Diesel,2888,MBB OF 1721 EURO V,MARCOPOLO,MERCEDES BENZ,9BM384078CB857220,B27005 ,30 ONBUS BASIC URB S/AR C/ELEV,22/10/12 14:44
KPN9194,2012,Diesel,2931,MBB OF 1721 EURO V,INDUSCAR - CAIO,MERCEDES BENZ,9BM384078CB863658,B27006 ,30 ONBUS BASIC URB S/AR C/ELEV,06/09/13 15:18
LLX4027,2012,Diesel,2931,MBB OF 1721 EURO V,INDUSCAR - CAIO,MERCEDES BENZ,9BM384078CB863944,B27007 ,30 ONBUS BASIC URB S/AR C/ELEV,06/09/13 15:18
LQW6089,2012,Diesel,2931,MBB OF 1721 EURO V,INDUSCAR - CAIO,MERCEDES BENZ,9BM384078CB864275,B27008 ,30 ONBUS BASIC URB S/AR C/ELEV,06/09/13 15:19
KWC6733,2012,Diesel,2931,MBB OF 1721 EURO V,INDUSCAR - CAIO,MERCEDES BENZ,9BM384078CB874806,B27009 ,30 ONBUS BASIC URB S/AR C/ELEV,06/09/13 15:20
KVH5227,2010,Diesel,2724,OF-1722,INDUSCAR - CAIO,MERCEDES BENZ,9BM384078AB696460,B27011 ,30 ONBUS BASIC URB S/AR C/ELEV,09/11/10 18:06
LRX7517,2015,Diesel,3026,MBB OF 1721 EURO V,INDUSCAR - CAIO,MERCEDES BENZ,BM384078FB005608,B27012 ,31 ONBUS BASIC URB C/AR C/ELEV,07/05/15 14:43
KOZ6606,2012,Diesel,2888,MBB OF 1721 EURO V,MARCOPOLO,MERCEDES BENZ,9BM384078CB870634,B27013 ,30 ONBUS BASIC URB S/AR C/ELEV,22/10/12 14:45
KPN9240,2012,Diesel,2931,MBB OF 1721 EURO V,INDUSCAR - CAIO,MERCEDES BENZ,9BM384078CB875117,B27014 ,30 ONBUS BASIC URB S/AR C/ELEV,06/09/13 15:20
KQX3550,2015,Diesel,3026,MBB OF 1721 EURO V,INDUSCAR - CAIO,MERCEDES BENZ,9BM384078FB005168,B27016 ,31 ONBUS BASIC URB C/AR C/ELEV,07/05/15 14:44
KPN9640,2012,Diesel,2931,MBB OF 1721 EURO V,INDUSCAR - CAIO,MERCEDES BENZ,9BM384078CB875230,B27019 ,30 ONBUS BASIC URB S/AR C/ELEV,06/09/13 15:21
KXY7956,2011,Diesel,2841,OF-1722,MARCOPOLO,MERCEDES BENZ,9BM384078CB846931,B27020 ,30 ONBUS BASIC URB S/AR C/ELEV,04/05/12 11:22
KWP6815,2014,Diesel,2993,MBB OF 1721 EURO V,NEOBUS - SAN MARINO,MERCEDES BENZ,9BM384078FB980322,B27024 ,31 ONBUS BASIC URB C/AR C/ELEV,27/01/15 16:01
KWC5892,2012,Diesel,2931,MBB OF 1721 EURO V,INDUSCAR - CAIO,MERCEDES BENZ,9BM384078CB875280,B27025 ,30 ONBUS BASIC URB S/AR C/ELEV,06/09/13 15:21
LQW6310,2012,Diesel,2931,MBB OF 1721 EURO V,INDUSCAR - CAIO,MERCEDES BENZ,9BM384078CB875315,B27026 ,30 ONBUS BASIC URB S/AR C/ELEV,06/09/13 15:21
